issue_key,summary,status,resolution,priority,project,components,labels,environment,product,team,root_cause_extracted,fix_applied_extracted,workaround_extracted,key_findings,error_signature,fix_pattern,defect_type,failure_area,quality_score,is_fixed,is_cancelled,created,resolved
HCBS-95925,[Lake Country Power] Timezone inconsistency when viewing history tab in PDM,Active,,Medium,HCBS,,DigitalOpsReview,,PSJIRA,,,,,,,Config-Environment,configuration issue,PSJIRA,0.3,False,False,2026-07-08,
HCBS-95920,24959772: UNSW: FC gateway: Model sync failed.,Active,,None,HCBS,Feature: Model Editor,DigitalOps; DigitalOpsReview,,PSJIRA,Titan,,,,,sync failed; failed; HttpOperationException; failure,Data Sync-Integration,functional bug,Feature: Model Editor | PSJIRA | Titan,0.41,False,False,2026-07-07,
HCBS-95911,[Arts Centre Melbourne] Service case asset not showing history,Triaged,,Medium,HCBS,,DigitalOpsReview,,PSJIRA,Spark,,,,,not available,Access-Authorization,performance issue,PSJIRA | Spark,0.36,False,False,2026-07-06,
HCBS-95910,AstraZeneca Macclesfield | CYO vs. GBP Wrong Currency in VIS,More Information Needed,,Urgent,HCBS,Feature: Forge Value Impact,DigitalOpsReview,,PSJIRA,Titan,,,,,,Data Sync-Integration,access issue,Feature: Forge Value Impact | PSJIRA | Titan,0.35,False,False,2026-07-06,
HCBS-95882,UAE DC| Zabeel Expansion| Model Sync is stuck and no failure logs,More Information Needed,,High,HCBS,Feature: Model Publish; Forge Connect,META,,PSJIRA,Titan,,,,,failure,Data Sync-Integration,integration issue,"Feature: Model Publish, Forge Connect | PSJIRA | Titan",0.41,False,False,2026-07-02,
HCBS-95819,CSM: 3 Parramatta Square - Service Cases not being Generated,In-Work,,Medium,HCBS,Feature: Rules Summary; Feature: Service Cases,DigitalOpsReview; Digitized_Maintenance; Drop3; HBS_L3_Support,,PSJIRA,Phoenix,,,,,,Logic Correction,access issue,"Feature: Rules Summary, Feature: Service Cases | PSJIRA | Phoenix",0.35,False,False,2026-07-02,
HCBS-95816,HBS L3 Support : IB published widget filter not working when Chart Filter and CSV Export are both enabled,More Information Needed,,High,HCBS,Feature: Insight Builder,DigitalOpsReview,,PSJIRA,Hammer,,,,,,UI-Frontend,integration issue,Feature: Insight Builder | PSJIRA | Hammer,0.35,False,False,2026-07-01,
HCBS-95815,Duplicate Metrics Found - EU Custs UK Based Sites - Blended Tariff & Maintenance Days,In-Work,,Urgent,HCBS,Feature: Forge Value Impact,DigitalOpsReview,,PSJIRA,Quest,,,,,Duplicate,Data Cleanup,data issue,Feature: Forge Value Impact | PSJIRA | Quest,0.41,False,False,2026-07-01,
HCBS-95780,ADNOC SKEC 2 | PDM- Predictive asset maintenance Dashboard showing empty values,More Information Needed,,High,HCBS,predictive maintenance,DigitalOpsReview; Digitized_Maintenance; Drop3; HBS_L3_Support; META; Onboarding_Blocker,,PSJIRA,Case Crunchers,,,,,not loading,UI-Frontend,access issue,predictive maintenance | PSJIRA | Case Crunchers,0.41,False,False,2026-06-29,
HCBS-95770,BBET| Multiple sites | ZOOTR comfort harmonization migration | Multiple Assets duplicated & Showing NA,In-Work,,Urgent,HCBS,Feature: Zone Out of Range Temperature; predictive maintenance,DigitalOpsReview; Digitized_Maintenance; Drop3; HBS_L3_Support; META; Onboarding_Blocker,,PSJIRA,Spark,,,,,duplicate,Data Cleanup,data issue,"Feature: Zone Out of Range Temperature, predictive maintenance | PSJIRA | Spark",0.41,False,False,2026-06-26,
HCBS-95768,UAE university Service Case Action Owner with duplicate assignee group,Deployment Queue,Fixed,Medium,HCBS,Feature: Insight Builder; Feature: Service Cases,DigitalOpsReview; Digitized_Maintenance; HBS_L3_Support; META,,PSJIRA,Spark,,,,,duplicate,UI-Frontend,data issue,"Feature: Insight Builder, Feature: Service Cases | PSJIRA | Spark",0.49,True,False,2026-06-26,2026-07-03
HCBS-95764,Verizon Cell Towers | Case Status Field Appearing Blank Across PDM-Deployed Sites in Rules Summary | SFDC 24621823,More Information Needed,,Medium,HCBS,predictive maintenance,DigitalOpsReview; Digitized_Maintenance,,PSJIRA,Phoenix,,,,,,Logic Correction,unknown,predictive maintenance | PSJIRA | Phoenix,0.35,False,False,2026-06-25,
HCBS-95702,VIS - Operations cost details Not working in Globalworth mulriple sites,Active,,High,HCBS,Feature: Forge Value Impact; Feature: KPI Metric,DigiOpsReview; DigitalOpsReview; Digitized_Maintenance; HBS_L3_Support,,PSJIRA,Hammer,,,,,duplicate,Data Sync-Integration,functional bug,"Feature: Forge Value Impact, Feature: KPI Metric | PSJIRA | Hammer",0.41,False,False,2026-06-19,
HCBS-95693,American Campus - 709 | ZOOTR data mismatch - duplicate zone (E6400 B) created in ZOOTR,More Information Needed,,Medium,HCBS,Feature: Zone Out of Range Temperature; predictive maintenance,DigiOpsReview; DigitalOpsReview; Digitized_Maintenance; HBS_L3_Support,,PSJIRA,Spark,"Duplicate entries found in Find API with different GUIDs, and one duplicate asset has data only for one day in ZOOTR.",,,Duplicate zone (E6400 B) created in ZOOTR with mismatched GUIDs.,mismatch; duplicate; missing,Data Cleanup,data issue,"Feature: Zone Out of Range Temperature, predictive maintenance | PSJIRA | Spark",0.74,False,False,2026-06-18,
HCBS-95691,HBS L3 Support : For HBS - Ocelot API rejects rule description update with 400 Bad Request when description contains < (less than) character,Deployment Queue,Fixed,Medium,HCBS,Feature: Rules Summary,DigitalOpsReview,,PSJIRA,Phoenix,,,,,400 Bad Request; 400,Logic Correction,integration issue,Feature: Rules Summary | PSJIRA | Phoenix,0.49,True,False,2026-06-17,2026-06-24
HCBS-95651,HBS L3 Support : For HBS - Silverbrook NorCal | Service Case H388922,Triaged,,Medium,HCBS,Feature: Service Cases,DigitalOpsReview,,PSJIRA,Spark,"Fault created at 9:55 PM in Skyspark, and service case creation occurred at the same time without delay.",Below added the screenshot of when the fault is created and the service case creation also happened by that time itself without any delay.,,"Service case creation timestamps align with fault creation, indicating no delay.",,Performance,performance issue,Feature: Service Cases | PSJIRA | Spark,0.86,False,False,2026-06-12,
HCBS-95601,HBS L3 Support : For HBS- UAE - Assignee Group Error for same Rule,Fixed,Fixed,Medium,HCBS,Feature: Service Cases,DigiOpsReview; META,,PSJIRA,Spark,Emails sent to the assignee group contain the facility ID instead of the site name.,,,The issue is related to incorrect data mapping in email notifications.,failed,Data Sync-Integration,integration issue,Feature: Service Cases | PSJIRA | Spark,0.82,True,False,2026-06-10,2026-07-07
HCBS-95597,"ADNOC - UAE DC - Pred Asset Maintenance Dashboard showing ""No data available""",More Information Needed,,Medium,HCBS,AI/ML SDK; predictive maintenance,DigitalOpsReview; META; Onboarding_Blocker,,PSJIRA,Quest,"No issue from AOC configuration; remapping at EOM level was validated, and data became available after republishing in the model editor.","Mappings were checked in the model editor, republished, and data became available in EOM.",,Mislabelled points and incorrect gateway mappings were identified as recurring issues.,not available; not associated,Data Sync-Integration,configuration issue,"AI/ML SDK, predictive maintenance | PSJIRA | Quest",0.92,False,False,2026-06-10,
HCBS-95520,Pittsburgh Steelers Stadium | Acrisure Stadium | Data not populating in the widget | SFDC 24541704,Fixed,Fixed,Medium,HCBS,Feature: Asset Reliability; predictive maintenance,DigitalOps; Digitized_Maintenance,,PSJIRA,Spark,Integration activity with the Partner Portal resolved the data population issue.,Validated the defect in staging by adding Nano Precise subscription to a customer and ensuring service case generation worked as expected.,,The issue was related to the integration with the Nano Precise team.,not populating,UI-Frontend,integration issue,"Feature: Asset Reliability, predictive maintenance | PSJIRA | Spark",1.0,True,False,2026-06-09,2026-06-15
